lags,val_mse,test_mse,val_mae,test_mae,val_rmse,test_rmse,val_smape,test_smape,val_mape,test_mape
3,43467.7597598242,41429.58364167032,156.1970313381059,152.18206925598386,208.48923175987807,203.54258434457967,89.69993651782443,87.74855009843624,,
5,38180.93010461304,36288.66120378913,146.68275370860357,142.53381259824246,195.39941173046824,190.4958298855624,82.23813529440591,80.09197645890929,,
7,40280.44220120548,38367.19066405538,150.4001092560301,146.41895767766323,200.6998809197591,195.87544681265027,85.05843054405418,83.00090392269504,,
3,45568.61151320208,43486.46298707401,160.07614380443306,156.15515394068814,213.4680573603509,208.53408111643049,93.03216994859945,91.18562218664287,,
5,45175.32106645786,43135.2264083185,159.3540895221214,155.5176249843785,212.5448683606778,207.6902174112168,92.4462472314318,90.60295979551366,,
7,38349.63621984696,36480.40299686464,146.9647855467289,142.90071981666523,195.8306314646587,190.9984371581732,82.45894931138844,80.3282047932565,,
3,39950.11780236533,37989.64256869013,149.82822371989565,145.66705141636726,199.87525560300188,194.9093188349139,,,1394387361107.7954,1087167317184.1542
5,45432.236010224,43386.29048621036,159.80031903226822,155.97178977142974,213.1483896496148,208.2937600750689,,,1165709920059.5977,907388173459.7874
7,42685.8839423387,40725.30661792297,154.7467049440383,150.88331526365477,206.60562417886567,201.8051203957,,,1277594337925.39,993748787510.7216
7,17732.336992348653,16678.916964842123,108.62123983511094,105.00817980810109,133.16282135922418,129.14688135933488,,,2545194903191.1025,2004884597987.2485
